,minuto,minuto_effettivo,testo,squadre,soggetti,eventi
79,75',75," Rivedendo l'episodio precedente in area del Bayern c'è stato un leggero tocco da dietro di Kimmich a Mbappé che, per la verità, però, non ha neppure reclamato il rigore","psg, bayern","mbappé, kimmich",
80,76',76," Lancio in area sulla destra per Perisic, anticipato da Navas in uscita","psg, bayern","navas, perisic","assist, parata"
81,77',77," Lancio in area per Draxler, anticipato di testa da Davies che dà all'indietro a Neuer","psg, bayern","draxler, davies, neuer","colpo di testa, assist"
82,78',78, Cross dalla destra di Perisic che termina direttamente sul fondo,bayern,perisic,"fuori, cross"
83,79',79, Nel Bayern Perisic gioca a destra e Coutinho a sinistra,bayern,"perisic, coutinho",fuori
84,80',80, Cambio nel PSG,psg,0,sostituzione
85,80',80, Cambio nel PSG,psg,0,sostituzione
86,81',81, Ammonito Neymar per un fallo da dietro a Lewandowski a centrocampo,"psg, bayern","lewandowski, neymar","cartellino giallo, punizione"
87,82',82," Lancio in area per Lewandowski, fermato in giusto fuorigioco",bayern,lewandowski,"fuori, tiro, fuorigioco, assist"
88,83',83, Ammonito Silva per un fallo ai danni di Lewandowski lanciato in contropiede,"psg, bayern","lewandowski, silva","cartellino giallo, punizione"
89,84',84," Punizione per il Bayern da 30 mt, leggermente spostata sulla sinistra",bayern,0,punizione
90,84',84, Coutinho prova il destro a giro,bayern,coutinho,"fuori, tiro"
91,85',85, Ammonito Kurzawa per un fallo a centrocampo ai danni di Kimmich,"psg, bayern","kimmich, kurzawa","cartellino giallo, punizione"
92,86',86, Cambio nel Bayern,bayern,0,sostituzione
93,87',87, Il PSG fatica a imbastire un assalto finale,psg,0,
94,88',88, Cross dalla destra di Mbappé troppo alto per Choupo-Moting,psg,"mbappé, choupo-moting",cross
95,89',89," Choupo-Moting smarca in area Mbappé che, tutto solo, calcia addosso a Neuer ma il gioco era fermo per evidente fuorigioco dell'attaccante francese","psg, bayern","neuer, mbappé, choupo-moting","fuori, tiro, fuorigioco, gioco fermo"
96,90',90, Si giocherà per altri 5',0,0,recupero
97,90' + 1',91," Lancio in area per Lewandowski, chiuso in extremis da Kehrer","psg, bayern","lewandowski, kehrer","chiusura, assist"
98,90' + 2',92, Occasione PSG! Lancio in area per Draxler che si gira e centra per Neymar che sfiora appena il pallone che termina 2-3 mt a lato alla sinistra di Neymar!,psg,"draxler, neymar","gol, assist"
99,90' + 4',94, Ammonito Muller per una trattenuta a centrocampo su Mbappé,"psg, bayern","mbappé, muller",cartellino giallo
100,90' + 6',96,Fine partita,0,0,fine partita
