Year,Korea
2000,108370.0
2001,136337.0
2002,141917.0
2003,151254.0
2004,156219.6913
2005,179812.4276
2006,199990.02107000002
2007,221928.2309
2008,236136.87096
2009,244076.77300000002
2010,264117.936
2011,288900.96241
2012,315589.1929
2013,321841.8477
2014,345463.42683
2015,356447.28999135
2016,361291.53354784
2017,383100.28053663
2018,408370.46026417
2019,430690.00643215
